App name,No.,Time,Source,Destination,Protocol,Length
,,0,172.30.1.1,172.30.1.250,,80
,,0.1,172.30.1.250,172.30.1.1,,80
Messenger,1506,60.293111,172.30.1.1,172.30.1.250,UDP,116
Messenger,1507,60.299875,172.30.1.1,172.30.1.250,UDP,116
Messenger,1508,60.300126,172.30.1.250,172.30.1.1,UDP,252
Messenger,1509,60.304229,172.30.1.1,172.30.1.250,UDP,236
Messenger,1510,60.314698,172.30.1.1,172.30.1.250,UDP,1148
Messenger,1511,60.315644,172.30.1.250,172.30.1.1,UDP,112
Messenger,1512,60.360976,172.30.1.1,172.30.1.250,UDP,196
Messenger,1513,60.386646,172.30.1.1,172.30.1.250,UDP,696
Messenger,1514,60.404241,172.30.1.250,172.30.1.1,UDP,256
Messenger,1515,60.411209,172.30.1.250,172.30.1.1,UDP,256
Messenger,1516,60.422488,172.30.1.1,172.30.1.250,UDP,208
Messenger,1517,60.449016,172.30.1.1,172.30.1.250,UDP,992
Messenger,1518,60.46074,172.30.1.250,172.30.1.1,UDP,136
Messenger,1519,60.463363,172.30.1.250,172.30.1.1,UDP,732
Messenger,1520,60.466574,172.30.1.250,172.30.1.1,UDP,732
Messenger,1521,60.466744,172.30.1.250,172.30.1.1,UDP,112
Messenger,1522,60.479541,172.30.1.1,172.30.1.250,UDP,116
Messenger,1523,60.484582,172.30.1.1,172.30.1.250,UDP,256
Messenger,1524,60.486625,172.30.1.250,172.30.1.1,UDP,264
Messenger,1525,60.494036,172.30.1.250,172.30.1.1,UDP,372
Messenger,1526,60.494201,172.30.1.250,172.30.1.1,UDP,260
Messenger,1527,60.494279,172.30.1.250,172.30.1.1,UDP,260
Messenger,1528,60.494352,172.30.1.250,172.30.1.1,UDP,268
Messenger,1529,60.494425,172.30.1.250,172.30.1.1,UDP,464
Messenger,1530,60.510959,172.30.1.1,172.30.1.250,UDP,704
Messenger,1531,60.520384,172.30.1.250,172.30.1.1,UDP,616
Messenger,1532,60.520886,172.30.1.250,172.30.1.1,UDP,112
