App name,No.,Time,Source,Destination,Protocol,Length
Pandora,1,0,172.30.1.1,172.30.1.250,DNS,112
Pandora,2,0.032415,172.30.1.250,172.30.1.1,DNS,152
Pandora,3,0.037028,172.30.1.1,172.30.1.250,TCP,108
Pandora,4,0.03948,172.30.1.1,172.30.1.250,TCP,108
Pandora,5,0.065445,172.30.1.1,172.30.1.250,DNS,112
Pandora,6,0.072694,172.30.1.250,172.30.1.1,TCP,96
Pandora,7,0.072801,172.30.1.1,172.30.1.250,TCP,88
Pandora,8,0.075823,172.30.1.1,172.30.1.250,TLSv1.3,604
Pandora,9,0.076077,172.30.1.250,172.30.1.1,TCP,88
Pandora,10,0.080149,172.30.1.250,172.30.1.1,TCP,96
Pandora,11,0.080337,172.30.1.1,172.30.1.250,TCP,88
Pandora,12,0.080964,172.30.1.1,172.30.1.250,TLSv1.3,604
Pandora,13,0.081132,172.30.1.250,172.30.1.1,TCP,88
Pandora,14,0.10237,172.30.1.250,172.30.1.1,DNS,128
Pandora,15,0.105057,172.30.1.1,172.30.1.250,TCP,108
Pandora,16,0.114905,172.30.1.250,172.30.1.1,TLSv1.3,2700
Pandora,17,0.115214,172.30.1.1,172.30.1.250,TCP,88
Pandora,18,0.115237,172.30.1.250,172.30.1.1,TLSv1.3,720
Pandora,19,0.115291,172.30.1.1,172.30.1.250,TCP,88
Pandora,20,0.12397,172.30.1.1,172.30.1.250,TLSv1.3,152
Pandora,21,0.124107,172.30.1.250,172.30.1.1,TCP,88
Pandora,22,0.124364,172.30.1.1,172.30.1.250,TLSv1.3,792
Pandora,23,0.124445,172.30.1.250,172.30.1.1,TCP,88
Pandora,24,0.130548,172.30.1.250,172.30.1.1,TLSv1.3,2700
Pandora,25,0.130738,172.30.1.1,172.30.1.250,TCP,88
Pandora,26,0.130749,172.30.1.250,172.30.1.1,TLSv1.3,720
Pandora,27,0.130779,172.30.1.1,172.30.1.250,TCP,88
Pandora,28,0.133517,172.30.1.1,172.30.1.250,TLSv1.3,152
Pandora,29,0.133648,172.30.1.250,172.30.1.1,TCP,88
Pandora,30,0.133801,172.30.1.1,172.30.1.250,TLSv1.3,492
Pandora,31,0.133866,172.30.1.250,172.30.1.1,TCP,88
Pandora,32,0.147457,172.30.1.250,172.30.1.1,TCP,96
Pandora,33,0.147575,172.30.1.1,172.30.1.250,TCP,88
Pandora,34,0.149382,172.30.1.1,172.30.1.250,TLSv1.3,604
Pandora,35,0.149711,172.30.1.250,172.30.1.1,TCP,88
Pandora,36,0.157418,172.30.1.250,172.30.1.1,TLSv1.3,264
Pandora,37,0.189435,172.30.1.1,172.30.1.250,DNS,116
Pandora,38,0.198802,172.30.1.1,172.30.1.250,TCP,88
Pandora,39,0.213731,172.30.1.250,172.30.1.1,TLSv1.3,264
Pandora,40,0.213884,172.30.1.250,172.30.1.1,TLSv1.3,2700
Pandora,41,0.214017,172.30.1.1,172.30.1.250,TCP,88
Pandora,42,0.214029,172.30.1.250,172.30.1.1,TLSv1.3,1460
Pandora,43,0.214072,172.30.1.250,172.30.1.1,TLSv1.3,1492
Pandora,44,0.214098,172.30.1.250,172.30.1.1,TLSv1.3,1880
Pandora,45,0.214128,172.30.1.1,172.30.1.250,TCP,88
Pandora,46,0.214132,172.30.1.1,172.30.1.250,TCP,88
Pandora,47,0.214135,172.30.1.1,172.30.1.250,TCP,88
Pandora,48,0.214827,172.30.1.1,172.30.1.250,TLSv1.3,492
Pandora,49,0.215148,172.30.1.250,172.30.1.1,TCP,88
Pandora,50,0.217744,172.30.1.1,172.30.1.250,TLSv1.3,152
Pandora,51,0.218502,172.30.1.250,172.30.1.1,TCP,88
Pandora,52,0.218577,172.30.1.1,172.30.1.250,TLSv1.3,1288
Pandora,53,0.21864,172.30.1.250,172.30.1.1,TCP,88
Pandora,54,0.22742,172.30.1.250,172.30.1.1,DNS,132
