App name,No.,Time,Source,Destination,Protocol,Length
OneDrive,1,0,172.30.1.1,172.30.1.250,DNS,136
OneDrive,2,0.050977,172.30.1.1,172.30.1.250,DNS,108
OneDrive,3,0.19712,172.30.1.250,172.30.1.1,DNS,360
OneDrive,4,0.200498,172.30.1.1,172.30.1.250,TCP,108
OneDrive,5,0.201069,172.30.1.250,172.30.1.1,DNS,332
OneDrive,6,0.20348,172.30.1.1,172.30.1.250,TCP,108
OneDrive,7,0.204193,172.30.1.1,172.30.1.250,TCP,108
OneDrive,8,0.243356,172.30.1.250,172.30.1.1,TCP,96
OneDrive,9,0.243479,172.30.1.1,172.30.1.250,TCP,88
OneDrive,10,0.24606,172.30.1.250,172.30.1.1,TCP,96
OneDrive,11,0.246139,172.30.1.1,172.30.1.250,TCP,88
OneDrive,12,0.246193,172.30.1.250,172.30.1.1,TCP,96
OneDrive,13,0.246241,172.30.1.1,172.30.1.250,TCP,88
OneDrive,14,0.246459,172.30.1.1,172.30.1.250,TLSv1.2,604
OneDrive,15,0.246804,172.30.1.250,172.30.1.1,TCP,88
OneDrive,16,0.252295,172.30.1.1,172.30.1.250,TLSv1.2,604
OneDrive,17,0.252476,172.30.1.1,172.30.1.250,TLSv1.2,604
OneDrive,18,0.252683,172.30.1.250,172.30.1.1,TCP,88
OneDrive,19,0.252789,172.30.1.250,172.30.1.1,TCP,88
OneDrive,20,0.378434,172.30.1.250,172.30.1.1,TLSv1.2,9140
OneDrive,21,0.378821,172.30.1.1,172.30.1.250,TCP,88
OneDrive,22,0.37884,172.30.1.250,172.30.1.1,TLSv1.2,7340
OneDrive,23,0.379073,172.30.1.250,172.30.1.1,TLSv1.2,7340
OneDrive,24,0.37925,172.30.1.1,172.30.1.250,TCP,88
OneDrive,25,0.379254,172.30.1.1,172.30.1.250,TCP,88
OneDrive,26,0.389969,172.30.1.1,172.30.1.250,TLSv1.2,244
OneDrive,27,0.390114,172.30.1.250,172.30.1.1,TCP,88
OneDrive,28,0.487143,172.30.1.250,172.30.1.1,TLSv1.2,500
OneDrive,29,0.490157,172.30.1.1,172.30.1.250,TLSv1.2,140
OneDrive,30,0.490274,172.30.1.250,172.30.1.1,TCP,88
OneDrive,31,0.490606,172.30.1.1,172.30.1.250,TLSv1.2,132
OneDrive,32,0.490632,172.30.1.250,172.30.1.1,TCP,88
OneDrive,33,0.490874,172.30.1.1,172.30.1.250,TLSv1.2,128
OneDrive,34,0.49097,172.30.1.250,172.30.1.1,TCP,88
OneDrive,35,0.49265,172.30.1.1,172.30.1.250,TLSv1.2,124
OneDrive,36,0.492744,172.30.1.250,172.30.1.1,TCP,88
OneDrive,37,0.499177,172.30.1.1,172.30.1.250,TLSv1.2,1252
OneDrive,38,0.499382,172.30.1.250,172.30.1.1,TCP,88
OneDrive,39,0.509858,172.30.1.1,172.30.1.250,TLSv1.2,244
OneDrive,40,0.509884,172.30.1.1,172.30.1.250,TLSv1.2,244
OneDrive,41,0.510065,172.30.1.250,172.30.1.1,TCP,88
OneDrive,42,0.510255,172.30.1.250,172.30.1.1,TCP,88
OneDrive,43,0.540287,172.30.1.250,172.30.1.1,TLSv1.2,124
OneDrive,44,0.582778,172.30.1.1,172.30.1.250,TCP,88
OneDrive,45,0.608772,172.30.1.250,172.30.1.1,TLSv1.2,428
OneDrive,46,0.609028,172.30.1.1,172.30.1.250,TCP,88
OneDrive,47,0.609056,172.30.1.250,172.30.1.1,TLSv1.2,428
OneDrive,48,0.609128,172.30.1.1,172.30.1.250,TCP,88
OneDrive,49,0.611845,172.30.1.1,172.30.1.250,TLSv1.2,2860
OneDrive,50,0.612071,172.30.1.250,172.30.1.1,TCP,88
OneDrive,51,0.612141,172.30.1.1,172.30.1.250,TLSv1.2,2432
OneDrive,52,0.61231,172.30.1.250,172.30.1.1,TCP,88
OneDrive,53,0.972198,172.30.1.250,172.30.1.1,TLSv1.2,10048
OneDrive,54,0.973452,172.30.1.250,172.30.1.1,TLSv1.2,2860
OneDrive,55,0.973865,172.30.1.1,172.30.1.250,TCP,88
OneDrive,56,0.974003,172.30.1.250,172.30.1.1,TLSv1.2,10048
OneDrive,57,0.974329,172.30.1.250,172.30.1.1,TLSv1.2,1980
OneDrive,58,0.974434,172.30.1.1,172.30.1.250,TCP,88
OneDrive,59,0.974487,172.30.1.250,172.30.1.1,TLSv1.2,9540
OneDrive,60,0.974673,172.30.1.1,172.30.1.250,TCP,88
OneDrive,61,1.019683,172.30.1.1,172.30.1.250,TCP,88
OneDrive,62,1.020151,172.30.1.1,172.30.1.250,TCP,88
OneDrive,63,1.078858,172.30.1.250,172.30.1.1,TLSv1.2,10048
OneDrive,64,1.079161,172.30.1.1,172.30.1.250,TCP,88
OneDrive,65,1.079239,172.30.1.250,172.30.1.1,TLSv1.2,10040
OneDrive,66,1.079675,172.30.1.1,172.30.1.250,TCP,88
OneDrive,67,3.857081,172.30.1.1,172.30.1.250,TLSv1.2,2832
OneDrive,68,3.857371,172.30.1.250,172.30.1.1,TCP,88
OneDrive,69,4.396361,172.30.1.250,172.30.1.1,TLSv1.2,2020
OneDrive,70,4.396674,172.30.1.1,172.30.1.250,TCP,88
OneDrive,71,4.399557,172.30.1.250,172.30.1.1,TLSv1.2,2504
OneDrive,72,4.399736,172.30.1.1,172.30.1.250,TCP,88
OneDrive,73,7.862738,172.30.1.1,172.30.1.250,DNS,124
OneDrive,74,7.966945,172.30.1.250,172.30.1.1,DNS,240
OneDrive,75,7.970518,172.30.1.1,172.30.1.250,TCP,108
OneDrive,76,8.147145,172.30.1.250,172.30.1.1,TCP,96
OneDrive,77,8.147295,172.30.1.1,172.30.1.250,TCP,88
OneDrive,78,8.150629,172.30.1.1,172.30.1.250,TLSv1.2,604
OneDrive,79,8.151043,172.30.1.250,172.30.1.1,TCP,88
OneDrive,80,8.326378,172.30.1.250,172.30.1.1,TCP,2724
OneDrive,81,8.326882,172.30.1.1,172.30.1.250,TCP,88
OneDrive,82,8.329934,172.30.1.250,172.30.1.1,TLSv1.2,3744
OneDrive,83,8.330341,172.30.1.1,172.30.1.250,TCP,88
OneDrive,84,8.361565,172.30.1.1,172.30.1.250,TLSv1.2,244
OneDrive,85,8.362077,172.30.1.250,172.30.1.1,TCP,88
OneDrive,86,8.4177,172.30.1.250,172.30.1.1,TLSv1.2,140
OneDrive,87,8.420798,172.30.1.1,172.30.1.250,TLSv1.2,6168
OneDrive,88,8.421462,172.30.1.250,172.30.1.1,TCP,88
OneDrive,89,8.748499,172.30.1.250,172.30.1.1,TLSv1.2,544
OneDrive,90,8.790924,172.30.1.1,172.30.1.250,TCP,88
OneDrive,91,12.755314,172.30.1.1,172.30.1.250,TLSv1.2,1772
OneDrive,92,12.756129,172.30.1.250,172.30.1.1,TCP,88
OneDrive,93,13.345639,172.30.1.250,172.30.1.1,TLSv1.2,540
OneDrive,94,13.345849,172.30.1.1,172.30.1.250,TCP,88
OneDrive,95,15.321205,172.30.1.1,172.30.1.250,TLSv1.2,2832
OneDrive,96,15.321704,172.30.1.250,172.30.1.1,TCP,88
OneDrive,97,15.843822,172.30.1.250,172.30.1.1,TLSv1.2,4200
OneDrive,98,15.844131,172.30.1.1,172.30.1.250,TCP,88
OneDrive,99,17.352587,172.30.1.1,172.30.1.250,TLSv1.2,3056
OneDrive,100,17.352895,172.30.1.250,172.30.1.1,TCP,88
OneDrive,101,17.388189,172.30.1.1,172.30.1.250,TLSv1.2,2836
OneDrive,102,17.388681,172.30.1.250,172.30.1.1,TCP,88
OneDrive,103,17.398241,172.30.1.1,172.30.1.250,TLSv1.2,2432
OneDrive,104,17.398454,172.30.1.250,172.30.1.1,TCP,88
OneDrive,105,17.599261,172.30.1.250,172.30.1.1,TLSv1.2,572
OneDrive,106,17.599454,172.30.1.1,172.30.1.250,TCP,88
OneDrive,107,17.599465,172.30.1.250,172.30.1.1,TCP,88
OneDrive,108,17.60063,172.30.1.1,172.30.1.250,TLSv1.2,120
OneDrive,109,17.600635,172.30.1.250,172.30.1.1,TCP,88
OneDrive,110,17.600667,172.30.1.1,172.30.1.250,TCP,88
OneDrive,111,17.60067,172.30.1.250,172.30.1.1,TCP,88
OneDrive,112,17.606119,172.30.1.1,172.30.1.250,DNS,124
OneDrive,113,17.689445,172.30.1.250,172.30.1.1,DNS,240
OneDrive,114,17.693353,172.30.1.1,172.30.1.250,TCP,108
OneDrive,115,17.742137,172.30.1.250,172.30.1.1,TCP,96
OneDrive,116,17.742461,172.30.1.1,172.30.1.250,TCP,88
OneDrive,117,17.744713,172.30.1.1,172.30.1.250,TLSv1.2,604
OneDrive,118,17.74534,172.30.1.250,172.30.1.1,TCP,88
OneDrive,119,17.772755,172.30.1.250,172.30.1.1,TLSv1.2,1460
OneDrive,120,17.774284,172.30.1.1,172.30.1.250,TCP,88
OneDrive,121,17.813764,172.30.1.250,172.30.1.1,TLSv1.2,6380
OneDrive,122,17.814389,172.30.1.1,172.30.1.250,TCP,88
OneDrive,123,17.825501,172.30.1.1,172.30.1.250,TLSv1.2,244
OneDrive,124,17.825699,172.30.1.250,172.30.1.1,TCP,88
OneDrive,125,17.87331,172.30.1.250,172.30.1.1,TLSv1.2,140
OneDrive,126,17.875301,172.30.1.1,172.30.1.250,TLSv1.2,1960
OneDrive,127,17.875773,172.30.1.250,172.30.1.1,TCP,88
OneDrive,128,17.923963,172.30.1.250,172.30.1.1,TLSv1.2,4784
OneDrive,129,17.924213,172.30.1.1,172.30.1.250,TCP,88
OneDrive,130,17.942885,172.30.1.250,172.30.1.1,TLSv1.2,540
OneDrive,131,17.94693,172.30.1.1,172.30.1.250,TLSv1.2,2060
OneDrive,132,17.947174,172.30.1.250,172.30.1.1,TCP,88
OneDrive,133,18.007427,172.30.1.250,172.30.1.1,TLSv1.2,540
OneDrive,134,18.011238,172.30.1.1,172.30.1.250,TLSv1.2,1984
OneDrive,135,18.011442,172.30.1.250,172.30.1.1,TCP,88
OneDrive,136,18.060937,172.30.1.250,172.30.1.1,TLSv1.2,540
OneDrive,137,18.103155,172.30.1.1,172.30.1.250,TCP,88
OneDrive,138,22.078233,172.30.1.1,172.30.1.250,TLSv1.2,1776
OneDrive,139,22.080623,172.30.1.250,172.30.1.1,TCP,88
OneDrive,140,22.365946,172.30.1.250,172.30.1.1,TLSv1.2,540
OneDrive,141,22.366183,172.30.1.1,172.30.1.250,TCP,88
OneDrive,142,22.59882,172.30.1.1,172.30.1.250,TLSv1.2,2836
OneDrive,143,22.59933,172.30.1.250,172.30.1.1,TCP,88
OneDrive,144,22.98739,172.30.1.250,172.30.1.1,TCP,1404
OneDrive,145,22.987992,172.30.1.1,172.30.1.250,TCP,88
OneDrive,146,23.071492,172.30.1.250,172.30.1.1,TLSv1.2,664
OneDrive,147,23.071824,172.30.1.1,172.30.1.250,TCP,88
OneDrive,148,26.381927,172.30.1.1,172.30.1.250,TLSv1.2,2748
OneDrive,149,26.384064,172.30.1.250,172.30.1.1,TCP,88
OneDrive,150,26.807104,172.30.1.250,172.30.1.1,TLSv1.2,572
OneDrive,151,26.809747,172.30.1.1,172.30.1.250,TCP,88
OneDrive,152,26.80976,172.30.1.1,172.30.1.250,TLSv1.2,120
OneDrive,153,26.809768,172.30.1.1,172.30.1.250,TCP,88
OneDrive,154,26.809908,172.30.1.250,172.30.1.1,TCP,88
OneDrive,155,26.809944,172.30.1.250,172.30.1.1,TCP,88
OneDrive,156,27.993711,172.30.1.1,172.30.1.250,TLSv1.2,436
OneDrive,157,27.994139,172.30.1.250,172.30.1.1,TCP,88
OneDrive,158,28.384268,172.30.1.250,172.30.1.1,TLSv1.2,444
OneDrive,159,28.384461,172.30.1.1,172.30.1.250,TCP,88
OneDrive,160,28.464252,172.30.1.1,172.30.1.250,TLSv1.2,332
OneDrive,161,28.464576,172.30.1.250,172.30.1.1,TCP,88
OneDrive,162,28.464927,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,163,28.465167,172.30.1.250,172.30.1.1,TCP,88
OneDrive,164,28.465371,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,165,28.465413,172.30.1.250,172.30.1.1,TCP,88
OneDrive,166,28.46568,172.30.1.1,172.30.1.250,TLSv1.2,124
OneDrive,167,28.4657,172.30.1.250,172.30.1.1,TCP,88
OneDrive,168,28.465897,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,169,28.465939,172.30.1.250,172.30.1.1,TCP,88
OneDrive,170,28.466132,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,171,28.46618,172.30.1.250,172.30.1.1,TCP,88
OneDrive,172,28.466415,172.30.1.1,172.30.1.250,TLSv1.2,124
OneDrive,173,28.466434,172.30.1.250,172.30.1.1,TCP,88
OneDrive,174,28.466653,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,175,28.46675,172.30.1.250,172.30.1.1,TCP,88
OneDrive,176,28.466949,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,177,28.46699,172.30.1.250,172.30.1.1,TCP,88
OneDrive,178,28.467219,172.30.1.1,172.30.1.250,TLSv1.2,124
OneDrive,179,28.467238,172.30.1.250,172.30.1.1,TCP,88
OneDrive,180,28.467433,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,181,28.467475,172.30.1.250,172.30.1.1,TCP,88
OneDrive,182,28.467673,172.30.1.1,172.30.1.250,TLSv1.2,8308
OneDrive,183,28.46772,172.30.1.250,172.30.1.1,TCP,88
