App name,No.,Time,Source,Destination,Protocol,Length
YouTube,1,0,172.30.1.1,172.30.1.250,DNS,116
YouTube,2,0.051671,172.30.1.250,172.30.1.1,DNS,372
YouTube,3,0.154606,172.30.1.1,172.30.1.250,DNS,104
YouTube,4,0.161284,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,5,0.164225,172.30.1.1,172.30.1.250,TCP,108
YouTube,6,0.19056,172.30.1.1,172.30.1.250,TCP,108
YouTube,7,0.191694,172.30.1.250,172.30.1.1,DNS,360
YouTube,8,0.199061,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,9,0.200726,172.30.1.1,172.30.1.250,TCP,108
YouTube,10,0.206966,172.30.1.250,172.30.1.1,TCP,96
YouTube,11,0.207173,172.30.1.1,172.30.1.250,TCP,88
YouTube,12,0.207467,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,13,0.207809,172.30.1.250,172.30.1.1,TCP,88
YouTube,14,0.210324,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,15,0.212266,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,16,0.215933,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,17,0.216042,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,18,0.21674,172.30.1.1,172.30.1.250,QUIC,116
YouTube,19,0.233435,172.30.1.250,172.30.1.1,TCP,96
YouTube,20,0.233544,172.30.1.1,172.30.1.250,TCP,88
YouTube,21,0.234291,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,22,0.234439,172.30.1.250,172.30.1.1,TCP,88
YouTube,23,0.241641,172.30.1.250,172.30.1.1,TCP,96
YouTube,24,0.241769,172.30.1.1,172.30.1.250,TCP,88
YouTube,25,0.242602,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,26,0.242745,172.30.1.250,172.30.1.1,TCP,88
YouTube,27,0.244091,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,28,0.24565,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,29,0.251489,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,30,0.251552,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,31,0.252026,172.30.1.1,172.30.1.250,QUIC,116
YouTube,32,0.263251,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,33,0.263372,172.30.1.250,172.30.1.1,TLSv1.3,2760
YouTube,34,0.263512,172.30.1.1,172.30.1.250,TCP,88
