App name,No.,Time,Source,Destination,Protocol,Length
Meet,1,0,172.30.1.1,172.30.1.250,DNS,128
WhatsApp,2,0.097716,172.30.1.1,172.30.1.250,TCP,108
Google Play service,3,0.114642,172.30.1.1,172.30.1.250,DNS,112
Meet,4,0.186,172.30.1.250,172.30.1.1,DNS,384
WhatsApp,5,0.186412,172.30.1.250,172.30.1.1,TCP,96
Google Play service,6,0.186516,172.30.1.250,172.30.1.1,DNS,368
WhatsApp,7,0.186756,172.30.1.1,172.30.1.250,TCP,88
Google Play service,8,0.190508,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,9,0.192028,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,10,0.192399,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,11,0.192498,172.30.1.1,172.30.1.250,SSL,100
WhatsApp,12,0.192574,172.30.1.250,172.30.1.1,TCP,88
Meet,13,0.200644,172.30.1.1,172.30.1.250,QUIC,1324
WhatsApp,14,0.201976,172.30.1.1,172.30.1.250,TCP,92
Meet,15,0.202027,172.30.1.1,172.30.1.250,QUIC,148
Google Play service,16,0.202795,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,17,0.203661,172.30.1.250,172.30.1.1,TCP,88
Meet,18,0.204427,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,19,0.205148,172.30.1.1,172.30.1.250,SSL,368
WhatsApp,20,0.20526,172.30.1.250,172.30.1.1,TCP,88
Google Play service,21,0.286565,172.30.1.250,172.30.1.1,TCP,96
Google Play service,22,0.286752,172.30.1.1,172.30.1.250,TCP,88
Meet,23,0.286781,172.30.1.250,172.30.1.1,TCP,96
Meet,24,0.286941,172.30.1.1,172.30.1.250,TCP,88
Google Play service,25,0.290343,172.30.1.1,172.30.1.250,TLSv1.3,864
Google Play service,26,0.290659,172.30.1.250,172.30.1.1,TCP,88
Meet,27,0.291692,172.30.1.1,172.30.1.250,TLSv1.3,892
Meet,28,0.292016,172.30.1.250,172.30.1.1,TCP,88
Meet,29,0.292106,172.30.1.250,172.30.1.1,QUIC,1324
Meet,30,0.296787,172.30.1.1,172.30.1.250,QUIC,1324
