App name,No.,Time,Source,Destination,Protocol,Length
Google Play service,1,0,172.30.1.1,172.30.1.250,DNS,120
Google Play service,2,0.032738,172.30.1.250,172.30.1.1,DNS,376
WhatsApp,3,0.264762,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,4,0.306882,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,5,0.307037,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,6,0.311341,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,7,0.311549,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,8,0.31162,172.30.1.1,172.30.1.250,SSL,100
WhatsApp,9,0.311657,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,10,0.316112,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,11,0.316225,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,12,0.316291,172.30.1.1,172.30.1.250,SSL,352
WhatsApp,13,0.316332,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,14,0.39332,172.30.1.250,172.30.1.1,SSL,200
WhatsApp,15,0.393854,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,16,0.398609,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,17,0.398761,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,18,0.398891,172.30.1.1,172.30.1.250,SSL,328
WhatsApp,19,0.398942,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,20,0.54922,172.30.1.250,172.30.1.1,SSL,132
WhatsApp,21,0.549307,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,22,0.557391,172.30.1.250,172.30.1.1,SSL,284
WhatsApp,23,0.557463,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,24,0.623206,172.30.1.250,172.30.1.1,SSL,124
WhatsApp,25,0.62337,172.30.1.1,172.30.1.250,TCP,88
Messenger,26,2.836886,172.30.1.1,172.30.1.250,DNS,108
Messenger,27,2.842272,172.30.1.1,172.30.1.250,TCP,108
Messenger,28,2.951009,172.30.1.250,172.30.1.1,DNS,168
Messenger,29,2.95144,172.30.1.250,172.30.1.1,TCP,96
Messenger,30,2.951613,172.30.1.1,172.30.1.250,TCP,88
Messenger,31,2.955009,172.30.1.1,172.30.1.250,TLSv1.3,496
Messenger,32,2.955273,172.30.1.250,172.30.1.1,TCP,88
Messenger,33,2.993279,172.30.1.250,172.30.1.1,TLSv1.3,300
Messenger,34,2.993589,172.30.1.1,172.30.1.250,TCP,88
Messenger,35,2.995151,172.30.1.1,172.30.1.250,TLSv1.3,164
Messenger,36,2.995233,172.30.1.250,172.30.1.1,TCP,88
Messenger,37,2.996265,172.30.1.1,172.30.1.250,TLSv1.3,1532
Messenger,38,2.996343,172.30.1.250,172.30.1.1,TCP,88
Messenger,39,3.022837,172.30.1.250,172.30.1.1,TLSv1.3,340
Messenger,40,3.023044,172.30.1.1,172.30.1.250,TCP,88
Messenger,41,3.023938,172.30.1.1,172.30.1.250,TLSv1.3,124
Messenger,42,3.023991,172.30.1.250,172.30.1.1,TCP,88
Messenger,43,3.045486,172.30.1.250,172.30.1.1,TLSv1.3,132
Messenger,44,3.045651,172.30.1.1,172.30.1.250,TCP,88
Messenger,45,3.078116,172.30.1.250,172.30.1.1,TLSv1.3,1040
Messenger,46,3.078269,172.30.1.1,172.30.1.250,TCP,88
Google Play service,47,3.905466,172.30.1.1,172.30.1.250,DNS,116
Google Play service,48,3.983825,172.30.1.250,172.30.1.1,DNS,372
Google Play service,49,3.990997,172.30.1.1,172.30.1.250,TCP,108
Google Play service,50,4.003993,172.30.1.1,172.30.1.250,TCP,108
Google Play service,51,4.016778,172.30.1.250,172.30.1.1,TCP,96
Google Play service,52,4.016877,172.30.1.1,172.30.1.250,TCP,88
Google Play service,53,4.019578,172.30.1.1,172.30.1.250,TLSv1.3,632
Google Play service,54,4.019753,172.30.1.250,172.30.1.1,TCP,88
Google Play service,55,4.028253,172.30.1.250,172.30.1.1,TCP,96
Google Play service,56,4.028369,172.30.1.1,172.30.1.250,TCP,88
Google Play service,57,4.031341,172.30.1.1,172.30.1.250,TLSv1.3,632
Google Play service,58,4.031554,172.30.1.250,172.30.1.1,TCP,88
Google Play service,59,4.076834,172.30.1.250,172.30.1.1,TLSv1.3,292
Google Play service,60,4.076984,172.30.1.1,172.30.1.250,TCP,88
Google Play service,61,4.080704,172.30.1.1,172.30.1.250,TLSv1.3,152
Google Play service,62,4.080846,172.30.1.250,172.30.1.1,TCP,88
Google Play service,63,4.088146,172.30.1.250,172.30.1.1,TLSv1.3,292
Google Play service,64,4.088482,172.30.1.1,172.30.1.250,TCP,88
Google Play service,65,4.090917,172.30.1.1,172.30.1.250,TLSv1.3,1212
Google Play service,66,4.090999,172.30.1.250,172.30.1.1,TCP,88
Google Play service,67,4.09174,172.30.1.1,172.30.1.250,TLSv1.3,152
Google Play service,68,4.091788,172.30.1.250,172.30.1.1,TCP,88
Google Play service,69,4.107628,172.30.1.1,172.30.1.250,TLSv1.3,2116
Google Play service,70,4.107796,172.30.1.250,172.30.1.1,TCP,88
Google Play service,71,4.16327,172.30.1.250,172.30.1.1,TLSv1.3,1976
Google Play service,72,4.163515,172.30.1.1,172.30.1.250,TCP,88
Google Play service,73,4.198638,172.30.1.250,172.30.1.1,TLSv1.3,2076
Google Play service,74,4.198724,172.30.1.1,172.30.1.250,TCP,88
Google Play service,75,4.206047,172.30.1.250,172.30.1.1,TLSv1.3,240
Google Play service,76,4.206278,172.30.1.1,172.30.1.250,TCP,88
Messages,77,4.556206,172.30.1.1,172.30.1.250,DNS,132
Messages,78,4.626482,172.30.1.250,172.30.1.1,DNS,148
Messages,79,4.63131,172.30.1.1,172.30.1.250,TCP,108
Messages,80,4.65834,172.30.1.250,172.30.1.1,TCP,96
Messages,81,4.658523,172.30.1.1,172.30.1.250,TCP,88
Messages,82,4.658778,172.30.1.1,172.30.1.250,TLSv1.3,604
Messages,83,4.659021,172.30.1.250,172.30.1.1,TCP,88
Messages,84,4.69992,172.30.1.250,172.30.1.1,TLSv1.3,4904
Messages,85,4.70019,172.30.1.1,172.30.1.250,TCP,88
Messages,86,4.70685,172.30.1.1,172.30.1.250,TLSv1.3,160
Messages,87,4.706934,172.30.1.250,172.30.1.1,TCP,88
Messages,88,4.707072,172.30.1.1,172.30.1.250,TLSv1.3,184
Messages,89,4.707105,172.30.1.250,172.30.1.1,TCP,88
Messages,90,4.707189,172.30.1.1,172.30.1.250,TLSv1.3,440
Messages,91,4.707201,172.30.1.250,172.30.1.1,TCP,88
Messages,92,4.707484,172.30.1.1,172.30.1.250,TLSv1.3,7020
Messages,93,4.707551,172.30.1.250,172.30.1.1,TCP,88
Messages,94,4.707574,172.30.1.1,172.30.1.250,TLSv1.3,120
Messages,95,4.707583,172.30.1.250,172.30.1.1,TCP,88
Messages,96,4.73793,172.30.1.250,172.30.1.1,TLSv1.3,988
Messages,97,4.738069,172.30.1.1,172.30.1.250,TCP,88
Messages,98,4.738092,172.30.1.250,172.30.1.1,TLSv1.3,120
Messages,99,4.738202,172.30.1.1,172.30.1.250,TCP,88
Messages,100,4.738243,172.30.1.1,172.30.1.250,TLSv1.3,120
Messages,101,4.738293,172.30.1.250,172.30.1.1,TCP,88
Google Fi,102,4.932248,172.30.1.1,172.30.1.250,DNS,124
Messages,103,4.934266,172.30.1.250,172.30.1.1,TLSv1.3,808
Messages,104,4.934547,172.30.1.1,172.30.1.250,TCP,88
Messages,105,4.936563,172.30.1.1,172.30.1.250,TLSv1.3,128
Messages,106,4.937952,172.30.1.250,172.30.1.1,TCP,88
Messages,107,4.97343,172.30.1.1,172.30.1.250,QUIC,1324
Messages,108,4.974021,172.30.1.1,172.30.1.250,TLSv1.3,192
Messages,109,4.974027,172.30.1.1,172.30.1.250,TLSv1.3,200
Messages,110,4.97403,172.30.1.1,172.30.1.250,TLSv1.3,368
Messages,111,4.974034,172.30.1.1,172.30.1.250,TLSv1.3,388
Messages,112,4.974038,172.30.1.1,172.30.1.250,TLSv1.3,120
Messages,113,4.974041,172.30.1.1,172.30.1.250,TLSv1.3,120
Messages,114,4.974086,172.30.1.250,172.30.1.1,TCP,88
Messages,115,4.979245,172.30.1.1,172.30.1.250,TLSv1.3,196
Messages,116,4.979338,172.30.1.250,172.30.1.1,TCP,88
