App name,No.,Time,Source,Destination,Protocol,Length
Google Fi,1,0,172.30.1.1,172.30.1.250,DNS,124
Google Fi,2,0.033449,172.30.1.1,172.30.1.250,DNS,140
WhatsApp,3,0.14134,172.30.1.1,172.30.1.250,DNS,108
WhatsApp,4,0.147929,172.30.1.1,172.30.1.250,DNS,160
WhatsApp,5,0.150635,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,6,0.157599,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,7,0.157739,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,8,0.161233,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,9,0.161429,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,10,0.161527,172.30.1.1,172.30.1.250,TCP,100
WhatsApp,11,0.161622,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,12,0.234329,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,13,0.234549,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,14,0.234661,172.30.1.1,172.30.1.250,TCP,352
WhatsApp,15,0.23476,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,16,0.269107,172.30.1.250,172.30.1.1,TCP,200
WhatsApp,17,0.26929,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,18,0.280986,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,19,0.281296,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,20,0.281426,172.30.1.1,172.30.1.250,TCP,328
WhatsApp,21,0.281475,172.30.1.250,172.30.1.1,TCP,88
Messenger,22,0.302918,172.30.1.1,172.30.1.250,TCP,108
Messenger,23,0.315134,172.30.1.250,172.30.1.1,TCP,96
Messenger,24,0.3155,172.30.1.1,172.30.1.250,TCP,88
Messenger,25,0.327979,172.30.1.1,172.30.1.250,TLSv1.3,488
Messenger,26,0.328296,172.30.1.250,172.30.1.1,TCP,88
Messenger,27,0.330044,172.30.1.1,172.30.1.250,TLSv1.3,496
Messenger,28,0.330129,172.30.1.250,172.30.1.1,TCP,88
Messenger,29,0.331644,172.30.1.1,172.30.1.250,DNS,116
Messenger,30,0.339851,172.30.1.1,172.30.1.250,DNS,168
Messenger,31,0.34125,172.30.1.250,172.30.1.1,TLSv1.3,304
Messenger,32,0.341367,172.30.1.1,172.30.1.250,TCP,88
Messenger,33,0.343975,172.30.1.250,172.30.1.1,TLSv1.3,204
Messenger,34,0.344031,172.30.1.1,172.30.1.250,TCP,88
Messenger,35,0.344273,172.30.1.1,172.30.1.250,TLSv1.3,172
Messenger,36,0.344325,172.30.1.250,172.30.1.1,TCP,88
Messenger,37,0.348685,172.30.1.1,172.30.1.250,TLSv1.3,120
Messenger,38,0.348838,172.30.1.250,172.30.1.1,TCP,88
Messenger,39,0.356043,172.30.1.250,172.30.1.1,TLSv1.3,268
Messenger,40,0.356106,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,41,0.37813,172.30.1.250,172.30.1.1,TCP,328
WhatsApp,42,0.378241,172.30.1.1,172.30.1.250,TCP,88
