App name,No.,Time,Source,Destination,Protocol,Length
Teams,1,0,172.30.1.1,172.30.1.250,TCP,108
Teams,2,0.00224,172.30.1.1,172.30.1.250,DNS,144
Teams,3,0.003581,172.30.1.1,172.30.1.250,DNS,144
Teams,4,0.049541,172.30.1.250,172.30.1.1,DNS,208
Teams,5,0.053158,172.30.1.250,172.30.1.1,DNS,220
Teams,6,0.088965,172.30.1.250,172.30.1.1,TCP,96
Teams,7,0.089078,172.30.1.1,172.30.1.250,TCP,88
Teams,8,0.090393,172.30.1.1,172.30.1.250,TLSv1.2,400
Teams,9,0.090543,172.30.1.250,172.30.1.1,TCP,88
Teams,10,0.200105,172.30.1.250,172.30.1.1,TLSv1.2,4288
Teams,11,0.200628,172.30.1.1,172.30.1.250,TCP,88
Teams,12,0.224412,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,13,0.224526,172.30.1.250,172.30.1.1,TCP,88
Teams,14,0.315354,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,15,0.316118,172.30.1.1,172.30.1.250,TLSv1.2,1652
Teams,16,0.31628,172.30.1.250,172.30.1.1,TCP,88
Teams,17,0.439951,172.30.1.250,172.30.1.1,TLSv1.2,508
Teams,18,0.440018,172.30.1.250,172.30.1.1,TLSv1.2,916
Teams,19,0.440501,172.30.1.1,172.30.1.250,TCP,88
Teams,20,0.44149,172.30.1.1,172.30.1.250,TLSv1.2,220
Teams,21,0.441547,172.30.1.250,172.30.1.1,TCP,88
Teams,22,0.451832,172.30.1.1,172.30.1.250,TCP,108
Teams,23,0.455122,172.30.1.1,172.30.1.250,DNS,112
Teams,24,0.491958,172.30.1.250,172.30.1.1,TCP,96
Teams,25,0.49207,172.30.1.1,172.30.1.250,TCP,88
Teams,26,0.496274,172.30.1.1,172.30.1.250,TLSv1.2,648
Teams,27,0.496444,172.30.1.250,172.30.1.1,TCP,88
Teams,28,0.49649,172.30.1.250,172.30.1.1,DNS,284
Teams,29,0.498346,172.30.1.1,172.30.1.250,TCP,108
Teams,30,0.528426,172.30.1.250,172.30.1.1,TLSv1.2,128
Teams,31,0.569164,172.30.1.1,172.30.1.250,TCP,88
Teams,32,0.929136,172.30.1.250,172.30.1.1,TCP,1404
Teams,33,0.929552,172.30.1.1,172.30.1.250,TCP,88
Teams,34,0.936992,172.30.1.250,172.30.1.1,TLSv1.2,4716
Teams,35,0.937266,172.30.1.1,172.30.1.250,TCP,88
Teams,36,0.937277,172.30.1.250,172.30.1.1,TCP,96
Teams,37,0.937338,172.30.1.1,172.30.1.250,TCP,88
Teams,38,0.950702,172.30.1.1,172.30.1.250,TLSv1.2,648
Teams,39,0.951031,172.30.1.250,172.30.1.1,TCP,88
Teams,40,0.974629,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,41,0.974894,172.30.1.250,172.30.1.1,TCP,88
Teams,42,0.988796,172.30.1.1,172.30.1.250,TCP,108
Teams,43,0.990005,172.30.1.1,172.30.1.250,DNS,124
Teams,44,0.992499,172.30.1.1,172.30.1.250,DNS,124
Teams,45,1.151021,172.30.1.250,172.30.1.1,DNS,244
Teams,46,1.153427,172.30.1.250,172.30.1.1,DNS,288
Teams,47,1.17232,172.30.1.250,172.30.1.1,TLSv1.2,500
Teams,48,1.172555,172.30.1.250,172.30.1.1,TCP,4040
Teams,49,1.172828,172.30.1.1,172.30.1.250,TCP,88
Teams,50,1.175946,172.30.1.250,172.30.1.1,TLSv1.2,2080
Teams,51,1.176283,172.30.1.1,172.30.1.250,TCP,88
Teams,52,1.177506,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,53,1.17778,172.30.1.250,172.30.1.1,TCP,88
Teams,54,1.177939,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,55,1.178099,172.30.1.250,172.30.1.1,TCP,88
Teams,56,1.187929,172.30.1.1,172.30.1.250,TLSv1.2,3888
Teams,57,1.188351,172.30.1.250,172.30.1.1,TCP,88
Teams,58,1.188508,172.30.1.1,172.30.1.250,TLSv1.2,124
Teams,59,1.18855,172.30.1.250,172.30.1.1,TCP,88
Teams,60,1.206237,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,61,1.206576,172.30.1.250,172.30.1.1,TCP,88
Teams,62,1.230017,172.30.1.250,172.30.1.1,TLSv1.2,124
Teams,63,1.230119,172.30.1.250,172.30.1.1,TCP,96
Teams,64,1.230252,172.30.1.1,172.30.1.250,TCP,88
Teams,65,1.233961,172.30.1.1,172.30.1.250,TLSv1.2,380
Teams,66,1.234403,172.30.1.250,172.30.1.1,TCP,88
Teams,67,1.269044,172.30.1.250,172.30.1.1,TLSv1.2,500
Teams,68,1.273271,172.30.1.1,172.30.1.250,TCP,88
Teams,69,1.279375,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,70,1.279615,172.30.1.250,172.30.1.1,TCP,88
Teams,71,1.279721,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,72,1.279837,172.30.1.250,172.30.1.1,TCP,88
Teams,73,1.283271,172.30.1.1,172.30.1.250,TLSv1.2,120
Teams,74,1.283414,172.30.1.250,172.30.1.1,TCP,88
Teams,75,1.283716,172.30.1.1,172.30.1.250,TCP,88
Teams,76,1.283831,172.30.1.250,172.30.1.1,TCP,88
Teams,77,1.287337,172.30.1.1,172.30.1.250,TLSv1.2,3160
Teams,78,1.28752,172.30.1.250,172.30.1.1,TCP,88
Teams,79,1.324202,172.30.1.250,172.30.1.1,TLSv1.2,124
Teams,80,1.32451,172.30.1.1,172.30.1.250,TCP,88
Teams,81,1.324563,172.30.1.250,172.30.1.1,TCP,88
Teams,82,1.345197,172.30.1.250,172.30.1.1,TLSv1.2,4592
Teams,83,1.345747,172.30.1.1,172.30.1.250,TCP,88
Teams,84,1.37051,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,85,1.370911,172.30.1.250,172.30.1.1,TCP,88
Teams,86,1.553471,172.30.1.250,172.30.1.1,TLSv1.2,344
Teams,87,1.55452,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,88,1.554728,172.30.1.1,172.30.1.250,TCP,88
Teams,89,1.567354,172.30.1.1,172.30.1.250,TLSv1.2,516
Teams,90,1.567816,172.30.1.250,172.30.1.1,TCP,88
Teams,91,1.568161,172.30.1.1,172.30.1.250,TLSv1.2,1300
Teams,92,1.568318,172.30.1.250,172.30.1.1,TCP,88
Teams,93,1.63992,172.30.1.1,172.30.1.250,TLSv1.2,1024
Teams,94,1.640726,172.30.1.250,172.30.1.1,TCP,88
Teams,95,1.656631,172.30.1.250,172.30.1.1,TLSv1.2,256
Teams,96,1.656767,172.30.1.1,172.30.1.250,TCP,88
Teams,97,1.708431,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,98,1.714375,172.30.1.250,172.30.1.1,TLSv1.2,560
Teams,99,1.716125,172.30.1.1,172.30.1.250,TCP,88
Teams,100,1.721611,172.30.1.1,172.30.1.250,TLSv1.2,976
Teams,101,1.721968,172.30.1.250,172.30.1.1,TCP,88
Teams,102,1.832586,172.30.1.250,172.30.1.1,TLSv1.2,256
Teams,103,1.832848,172.30.1.1,172.30.1.250,TCP,88
Teams,104,2.02699,172.30.1.250,172.30.1.1,TLSv1.2,256
Teams,105,2.027349,172.30.1.1,172.30.1.250,TCP,88
Teams,106,3.338867,172.30.1.1,172.30.1.250,TCP,108
Teams,107,3.345383,172.30.1.1,172.30.1.250,DNS,132
Teams,108,3.346294,172.30.1.1,172.30.1.250,DNS,112
Teams,109,3.346746,172.30.1.1,172.30.1.250,TLSv1.2,3160
Teams,110,3.347082,172.30.1.1,172.30.1.250,DNS,112
Teams,111,3.347861,172.30.1.1,172.30.1.250,DNS,120
Teams,112,3.348626,172.30.1.1,172.30.1.250,DNS,132
Teams,113,3.349676,172.30.1.1,172.30.1.250,TCP,108
Teams,114,3.351051,172.30.1.250,172.30.1.1,TCP,88
Teams,115,3.364294,172.30.1.1,172.30.1.250,TCP,108
Teams,116,3.366614,172.30.1.1,172.30.1.250,DNS,124
Teams,117,3.564334,172.30.1.250,172.30.1.1,DNS,212
Teams,118,3.571727,172.30.1.250,172.30.1.1,DNS,268
Teams,119,3.572734,172.30.1.250,172.30.1.1,DNS,252
Teams,120,3.576205,172.30.1.1,172.30.1.250,TCP,108
Teams,121,3.578406,172.30.1.250,172.30.1.1,DNS,300
Teams,122,3.578545,172.30.1.250,172.30.1.1,DNS,192
Teams,123,3.58108,172.30.1.1,172.30.1.250,TCP,108
Teams,124,3.590034,172.30.1.250,172.30.1.1,DNS,244
Teams,125,3.592609,172.30.1.1,172.30.1.250,TCP,108
Teams,126,3.660052,172.30.1.250,172.30.1.1,TCP,96
Teams,127,3.660289,172.30.1.1,172.30.1.250,TCP,88
Teams,128,3.660313,172.30.1.250,172.30.1.1,TCP,96
Teams,129,3.660406,172.30.1.250,172.30.1.1,TCP,96
Teams,130,3.660482,172.30.1.1,172.30.1.250,TCP,88
Teams,131,3.660492,172.30.1.1,172.30.1.250,TCP,88
Teams,132,3.662228,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,133,3.662353,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,134,3.662508,172.30.1.250,172.30.1.1,TCP,88
Teams,135,3.662601,172.30.1.250,172.30.1.1,TCP,88
Teams,136,3.662641,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,137,3.662763,172.30.1.250,172.30.1.1,TCP,88
Teams,138,3.772947,172.30.1.250,172.30.1.1,TCP,96
Teams,139,3.773388,172.30.1.1,172.30.1.250,TCP,88
Teams,140,3.773419,172.30.1.250,172.30.1.1,TLSv1.2,256
Teams,141,3.773506,172.30.1.250,172.30.1.1,TLSv1.2,5792
Teams,142,3.773763,172.30.1.250,172.30.1.1,TCP,96
Teams,143,3.773851,172.30.1.250,172.30.1.1,TCP,96
Teams,144,3.773939,172.30.1.1,172.30.1.250,TCP,88
Teams,145,3.773948,172.30.1.1,172.30.1.250,TCP,88
Teams,146,3.773956,172.30.1.1,172.30.1.250,TCP,88
Teams,147,3.773965,172.30.1.1,172.30.1.250,TCP,88
Teams,148,3.775503,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,149,3.775681,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,150,3.776,172.30.1.250,172.30.1.1,TCP,88
Teams,151,3.776184,172.30.1.250,172.30.1.1,TCP,88
Teams,152,3.776253,172.30.1.1,172.30.1.250,TLSv1.2,604
Teams,153,3.776456,172.30.1.250,172.30.1.1,TCP,88
Teams,154,3.779418,172.30.1.250,172.30.1.1,TCP,4040
Teams,155,3.780141,172.30.1.1,172.30.1.250,TCP,88
Teams,156,3.788762,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,157,3.788973,172.30.1.250,172.30.1.1,TCP,88
Teams,158,3.790916,172.30.1.250,172.30.1.1,TLSv1.2,2264
Teams,159,3.791351,172.30.1.1,172.30.1.250,TCP,88
Teams,160,3.803145,172.30.1.1,172.30.1.250,TLSv1.2,976
Teams,161,3.803315,172.30.1.250,172.30.1.1,TCP,88
Teams,162,3.803919,172.30.1.250,172.30.1.1,TLSv1.2,6216
Teams,163,3.809058,172.30.1.1,172.30.1.250,TCP,88
Teams,164,3.809068,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,165,3.809229,172.30.1.250,172.30.1.1,TCP,88
Teams,166,3.813038,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,167,3.813145,172.30.1.250,172.30.1.1,TCP,88
Teams,168,3.871488,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,169,3.872666,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,170,3.87298,172.30.1.250,172.30.1.1,TCP,88
Teams,171,3.87309,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,172,3.873188,172.30.1.250,172.30.1.1,TCP,88
Teams,173,3.87441,172.30.1.1,172.30.1.250,TLSv1.2,1372
Teams,174,3.874586,172.30.1.250,172.30.1.1,TCP,88
Teams,175,3.893374,172.30.1.250,172.30.1.1,TCP,1404
Teams,176,3.893621,172.30.1.1,172.30.1.250,TCP,88
Teams,177,3.896128,172.30.1.250,172.30.1.1,TCP,2724
Teams,178,3.896495,172.30.1.1,172.30.1.250,TCP,88
Teams,179,3.899524,172.30.1.250,172.30.1.1,TCP,1404
Teams,180,3.899756,172.30.1.1,172.30.1.250,TCP,88
Teams,181,3.902652,172.30.1.250,172.30.1.1,TLSv1.2,944
Teams,182,3.902995,172.30.1.1,172.30.1.250,TCP,88
Teams,183,3.903023,172.30.1.250,172.30.1.1,TCP,2724
Teams,184,3.903486,172.30.1.1,172.30.1.250,TCP,88
Teams,185,3.906649,172.30.1.250,172.30.1.1,TLSv1.2,3580
Teams,186,3.906922,172.30.1.1,172.30.1.250,TCP,88
Teams,187,3.916025,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,188,3.917947,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,189,3.91823,172.30.1.250,172.30.1.1,TCP,88
Teams,190,3.91836,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,191,3.918455,172.30.1.250,172.30.1.1,TCP,88
Teams,192,3.919153,172.30.1.1,172.30.1.250,TLSv1.2,2008
Teams,193,3.919239,172.30.1.250,172.30.1.1,TCP,88
Teams,194,3.919724,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,195,3.91983,172.30.1.250,172.30.1.1,TCP,88
Teams,196,3.922269,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,197,3.922414,172.30.1.250,172.30.1.1,TCP,88
Teams,198,3.923702,172.30.1.250,172.30.1.1,TCP,1392
Teams,199,3.923963,172.30.1.1,172.30.1.250,TCP,88
Teams,200,3.926885,172.30.1.250,172.30.1.1,TCP,2700
Teams,201,3.927112,172.30.1.1,172.30.1.250,TCP,88
Teams,202,3.929834,172.30.1.250,172.30.1.1,TLSv1.2,2420
Teams,203,3.930181,172.30.1.1,172.30.1.250,TCP,88
Teams,204,3.932806,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,205,3.933971,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,206,3.934131,172.30.1.250,172.30.1.1,TCP,88
Teams,207,3.934206,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,208,3.934283,172.30.1.250,172.30.1.1,TCP,88
Teams,209,3.935696,172.30.1.250,172.30.1.1,TLSv1.2,192
Teams,210,3.936349,172.30.1.1,172.30.1.250,TLSv1.2,124
Teams,211,3.9365,172.30.1.250,172.30.1.1,TCP,88
Teams,212,3.936766,172.30.1.1,172.30.1.250,TLSv1.2,1304
Teams,213,3.936939,172.30.1.250,172.30.1.1,TCP,88
Teams,214,3.938984,172.30.1.1,172.30.1.250,TLSv1.2,244
Teams,215,3.939055,172.30.1.250,172.30.1.1,TCP,88
Teams,216,3.94296,172.30.1.250,172.30.1.1,TLSv1.2,124
Teams,217,3.985045,172.30.1.1,172.30.1.250,TCP,88
Teams,218,3.995337,172.30.1.250,172.30.1.1,TLSv1.2,260
Teams,219,4.008522,172.30.1.250,172.30.1.1,TLSv1.2,224
Teams,220,4.010186,172.30.1.1,172.30.1.250,TLSv1.2,124
Teams,221,4.010408,172.30.1.250,172.30.1.1,TCP,88
Teams,222,4.019614,172.30.1.250,172.30.1.1,TLSv1.2,140
Teams,223,4.021507,172.30.1.1,172.30.1.250,TLSv1.2,140
Teams,224,4.021731,172.30.1.250,172.30.1.1,TCP,88
Teams,225,4.021812,172.30.1.1,172.30.1.250,TLSv1.2,172
Teams,226,4.021889,172.30.1.250,172.30.1.1,TCP,88
Teams,227,4.022232,172.30.1.250,172.30.1.1,TLSv1.2,1172
Teams,228,4.02313,172.30.1.1,172.30.1.250,TLSv1.2,120
Teams,229,4.023147,172.30.1.1,172.30.1.250,TCP,88
Teams,230,4.023229,172.30.1.250,172.30.1.1,TCP,88
